incident_id,year,quarter,country,incident_category,severity,sector_affected,estimated_victims,financial_damage_usd,genai_tool_involved,perpetrator_type,legal_action_taken,media_coverage_score,cross_border,detection_method,resolution_status
INC-00470,2023,Q1,India,Deepfake Political Disinformation,Medium,Healthcare,15776,770169.99,Multiple,State Actor,0,6.8,0,Platform AI,Under Investigation
INC-00471,2023,Q2,Canada,Non-Consensual Intimate Imagery,Medium,Media,1242,,Multiple,State Actor,1,8.7,0,Platform AI,Unresolved
INC-00472,2022,Q4,Germany,Medical AI Misdiagnosis,Medium,Personal,18582,,Unknown,Corporation,1,3.4,1,Journalist Investigation,Resolved
INC-00473,2025,Q2,Indonesia,AI-Enabled Phishing,Medium,Personal,19611,,LLM Chatbot,Individual,0,3.7,0,Journalist Investigation,Resolved
INC-00474,2024,Q4,China,AI Bias in Hiring,Low,Legal,1109,57321.27,Code Generator,State Actor,0,5.5,1,Whistleblower,Resolved
INC-00475,2023,Q3,New Zealand,Deepfake Political Disinformation,High,Politics,39834,219828.98,LLM Chatbot,State Actor,0,1.0,1,Journalist Investigation,Unresolved
INC-00476,2023,Q1,China,AI Bias in Credit Scoring,Low,Public Safety,2500,9569.46,Code Generator,Organized Group,1,9.3,0,Automated Flag,Resolved
INC-00477,2023,Q2,Netherlands,Voice Cloning Scam,Low,Employment,755,36023.58,Unknown,Organized Group,0,9.8,1,Victim Report,Closed-No Action
INC-00478,2025,Q1,Sweden,Copyright Infringement via Image Gen,Low,Finance,2196,16628.38,Code Generator,Unknown,1,6.8,0,Platform AI,Unresolved
INC-00479,2023,Q4,Mexico,AI Bias in Credit Scoring,Medium,Personal,35826,2069736.84,Code Generator,Individual,1,4.3,0,Human Review,Closed-No Action
INC-00480,2022,Q1,North Korea,AI-Enabled Phishing,Medium,Media,13168,42453.73,Multiple,Organized Group,1,3.1,0,Victim Report,Legal Proceedings
INC-00481,2024,Q2,South Africa,Copyright Infringement via Image Gen,Medium,Media,29310,119854.48,Image Generator,Organized Group,0,3.9,1,Journalist Investigation,Under Investigation
INC-00482,2025,Q1,Sweden,Synthetic Media Electoral Interference,Low,Finance,774,57339.62,Unknown,Individual,0,7.8,1,Whistleblower,Unresolved
INC-00483,2024,Q4,Japan,AI Bias in Credit Scoring,Low,Politics,2152,92465.22,Unknown,Organized Group,0,6.3,0,Whistleblower,Under Investigation
INC-00484,2024,Q2,Russia,Voice Cloning Scam,Low,Media,4706,15359.99,Code Generator,Corporation,1,3.4,0,Platform AI,Unresolved
INC-00485,2025,Q4,Germany,Non-Consensual Intimate Imagery,Critical,Media,11753,74544442.62,LLM Chatbot,Unknown,1,0.5,0,Automated Flag,Closed-No Action
INC-00486,2024,Q2,China,Copyright Infringement via Image Gen,Medium,Personal,4428,107908.52,Multiple,Unknown,0,9.2,0,Automated Flag,Under Investigation
INC-00487,2024,Q3,India,AI Plagiarism,Low,Public Safety,11045,,Voice Cloner,Unknown,1,3.9,0,Platform AI,Under Investigation
INC-00488,2023,Q3,United States,Academic Dishonesty,High,Public Safety,137014,,Multiple,Corporation,0,0.3,1,Platform AI,Legal Proceedings
INC-00489,2024,Q1,Spain,Non-Consensual Intimate Imagery,Medium,Education,557,,Unknown,Individual,0,9.2,0,Whistleblower,Perpetrator Identified
INC-00490,2024,Q3,France,Copyright Infringement via Image Gen,High,Legal,25499,9103505.38,Unknown,Corporation,0,0.9,0,Forensic Analysis,Perpetrator Identified
INC-00491,2025,Q4,Japan,AI Bias in Hiring,Critical,Healthcare,215343,43335729.6,LLM Chatbot,Corporation,1,9.8,0,Whistleblower,Closed-No Action
INC-00492,2025,Q4,Nigeria,AI-Generated Legal Documents (Unauthorized),Medium,Public Safety,15325,,Video Synthesizer,State Actor,0,6.5,1,Forensic Analysis,Unresolved
INC-00493,2024,Q4,Iran,AI-Enabled Phishing,Medium,Employment,11046,,Video Synthesizer,State Actor,1,5.4,1,Victim Report,Closed-No Action
INC-00494,2025,Q1,Brazil,Deepfake Political Disinformation,Medium,Finance,28192,1195690.5,Code Generator,Organized Group,0,9.8,0,Forensic Analysis,Resolved
INC-00495,2024,Q1,Kenya,AI Bias in Hiring,Low,Personal,1632,57361.24,Code Generator,Corporation,1,8.1,1,Forensic Analysis,Perpetrator Identified
INC-00496,2025,Q1,South Korea,AI Bias in Credit Scoring,High,Politics,72240,494709.39,Video Synthesizer,Corporation,0,7.5,0,Whistleblower,Unresolved
INC-00497,2022,Q2,Poland,Synthetic Media Electoral Interference,Low,Healthcare,2392,48451.13,Image Generator,Unknown,0,2.0,1,Whistleblower,Under Investigation
INC-00498,2025,Q4,Saudi Arabia,Voice Cloning Scam,High,Politics,46139,,Image Generator,State Actor,1,4.6,1,Victim Report,Unresolved
INC-00499,2024,Q1,Brazil,AI-Generated Fraud,Low,Healthcare,10385,2225.46,Code Generator,State Actor,1,8.2,0,Forensic Analysis,Closed-No Action
INC-00500,2024,Q3,Indonesia,AI-Generated Fraud,Medium,Employment,23465,193816.93,Voice Cloner,Organized Group,0,1.1,0,Journalist Investigation,Perpetrator Identified
INC-00501,2025,Q3,Singapore,Chatbot Harmful Advice,Low,Healthcare,3413,20220.43,LLM Chatbot,Unknown,1,3.4,0,Victim Report,Resolved
INC-00502,2024,Q4,Israel,AI Bias in Hiring,Medium,Education,8004,205191.54,Video Synthesizer,Unknown,1,1.5,0,Platform AI,Resolved
INC-00503,2024,Q2,Germany,Voice Cloning Scam,High,Legal,14693,10641912.5,Image Generator,Unknown,0,9.4,1,Automated Flag,Unresolved
INC-00504,2024,Q2,Germany,Synthetic Media Electoral Interference,Low,Healthcare,8690,58698.86,Unknown,Individual,1,3.8,0,Forensic Analysis,Closed-No Action
INC-00505,2024,Q3,Russia,Automated Misinformation Campaign,Low,Public Safety,18004,,Unknown,Unknown,0,2.2,1,Platform AI,Under Investigation
INC-00506,2025,Q4,Venezuela,Manipulated Audio Evidence,Low,Public Safety,4441,12719.19,Unknown,Individual,0,8.6,1,Victim Report,Perpetrator Identified
INC-00507,2023,Q3,Saudi Arabia,AI Bias in Hiring,Critical,Healthcare,284440,19234865.5,Unknown,Individual,0,7.6,1,Human Review,Unresolved
INC-00508,2025,Q4,India,Academic Dishonesty,Low,Personal,20450,,Video Synthesizer,Unknown,0,7.2,0,Journalist Investigation,Under Investigation
INC-00509,2025,Q4,Brazil,AI Bias in Hiring,Medium,Employment,41103,1058332.2,Multiple,Individual,0,6.0,1,Automated Flag,Unresolved
INC-00510,2025,Q3,Turkey,AI-Enabled Phishing,High,Public Safety,56715,,LLM Chatbot,Individual,1,1.7,1,Journalist Investigation,Legal Proceedings
INC-00511,2024,Q1,United States,Chatbot Harmful Advice,Medium,Politics,9518,65169.39,Code Generator,Unknown,0,8.5,0,Platform AI,Legal Proceedings
INC-00512,2025,Q1,France,AI-Generated Legal Documents (Unauthorized),Medium,Politics,1178,77084.37,LLM Chatbot,Corporation,0,6.5,0,Journalist Investigation,Perpetrator Identified
INC-00513,2024,Q3,China,Synthetic Media Electoral Interference,High,Public Safety,341655,15020508.99,Unknown,Organized Group,0,1.3,0,Forensic Analysis,Perpetrator Identified
INC-00514,2024,Q1,Venezuela,Chatbot Harmful Advice,High,Employment,2136,13091347.11,Multiple,Corporation,1,5.6,0,Platform AI,Closed-No Action
INC-00515,2025,Q4,Venezuela,Academic Dishonesty,Low,Politics,3684,8426.44,Voice Cloner,Organized Group,0,4.9,1,Journalist Investigation,Resolved
INC-00516,2023,Q4,Chile,Deepfake Political Disinformation,High,Legal,313456,,Voice Cloner,State Actor,0,3.4,1,Victim Report,Legal Proceedings
INC-00517,2022,Q4,China,Synthetic Media Electoral Interference,Low,Finance,1571,19345.99,Unknown,Individual,1,3.4,0,Forensic Analysis,Resolved
INC-00518,2025,Q4,France,Manipulated Audio Evidence,Medium,Politics,20164,377178.64,Video Synthesizer,Unknown,0,1.2,1,Human Review,Resolved
INC-00519,2022,Q2,Mexico,AI Bias in Hiring,Critical,Healthcare,35941,147270912.19,Multiple,Corporation,1,6.5,0,Automated Flag,Under Investigation
INC-00520,2025,Q2,United States,Automated Misinformation Campaign,High,Healthcare,41670,,Video Synthesizer,Organized Group,1,7.8,1,Victim Report,Legal Proceedings
INC-00521,2023,Q3,Russia,Non-Consensual Intimate Imagery,Low,Employment,5400,,Video Synthesizer,Individual,0,3.6,1,Human Review,Unresolved
INC-00522,2023,Q4,Germany,Non-Consensual Intimate Imagery,High,Legal,23247,3404205.29,Video Synthesizer,Unknown,1,8.4,1,Platform AI,Under Investigation
INC-00523,2023,Q3,Japan,AI-Generated Legal Documents (Unauthorized),Medium,Personal,10291,903715.95,Multiple,Organized Group,0,2.8,0,Forensic Analysis,Perpetrator Identified
INC-00524,2025,Q2,Taiwan,AI-Generated Fraud,Medium,Media,6730,6132.84,Unknown,State Actor,0,1.1,1,Forensic Analysis,Perpetrator Identified
INC-00525,2024,Q3,Kenya,AI Identity Theft,Medium,Finance,10218,192780.66,LLM Chatbot,Corporation,0,9.5,0,Whistleblower,Resolved
INC-00526,2023,Q3,Ireland,AI Identity Theft,Low,Legal,2890,52168.87,LLM Chatbot,Organized Group,0,4.1,1,Automated Flag,Perpetrator Identified
INC-00527,2024,Q1,South Africa,Deepfake Political Disinformation,High,Finance,80229,9163567.15,Voice Cloner,Organized Group,1,7.5,0,Human Review,Resolved
INC-00528,2024,Q2,Spain,Synthetic Media Electoral Interference,Medium,Politics,23011,172716.7,Image Generator,Individual,1,9.6,0,Journalist Investigation,Unresolved
INC-00529,2023,Q1,Canada,AI Plagiarism,Low,Politics,5366,154320.87,Image Generator,Corporation,0,9.9,1,Forensic Analysis,Closed-No Action
INC-00530,2025,Q4,France,Copyright Infringement via Image Gen,Medium,Employment,17338,547603.44,Unknown,Unknown,1,5.3,1,Platform AI,Resolved
INC-00531,2023,Q2,Australia,AI-Generated Fraud,Medium,Politics,28127,210015.96,Image Generator,Individual,0,2.1,1,Automated Flag,Unresolved
INC-00532,2025,Q3,Brazil,Voice Cloning Scam,Medium,Healthcare,28875,,Multiple,State Actor,0,4.4,0,Human Review,Legal Proceedings
INC-00533,2025,Q1,Iran,Non-Consensual Intimate Imagery,Low,Personal,2275,67669.07,Unknown,Individual,0,7.2,0,Journalist Investigation,Resolved
INC-00534,2025,Q3,United States,Manipulated Audio Evidence,Low,Personal,11250,,Image Generator,Unknown,1,0.6,1,Victim Report,Closed-No Action
INC-00535,2024,Q3,Venezuela,AI-Generated Fraud,Medium,Education,27143,77551.76,Unknown,Organized Group,0,2.0,1,Automated Flag,Resolved
INC-00536,2023,Q3,France,AI Bias in Hiring,Medium,Finance,54742,248871.31,Voice Cloner,Corporation,1,8.1,0,Whistleblower,Unresolved
INC-00537,2025,Q2,Poland,Synthetic Media Electoral Interference,Critical,Finance,99039,16567612.01,Voice Cloner,Organized Group,1,2.2,1,Journalist Investigation,Legal Proceedings
INC-00538,2023,Q3,Spain,AI Surveillance Abuse,High,Healthcare,61806,181049.17,LLM Chatbot,Organized Group,1,3.0,0,Forensic Analysis,Resolved
INC-00539,2024,Q3,Germany,AI Identity Theft,High,Education,4426,1687041.03,Image Generator,Unknown,1,1.9,0,Human Review,Resolved
INC-00540,2023,Q4,Spain,AI Identity Theft,Medium,Public Safety,11756,279677.17,Code Generator,Corporation,0,1.4,0,Platform AI,Perpetrator Identified
INC-00541,2024,Q4,Kenya,AI-Generated Legal Documents (Unauthorized),High,Finance,13481,1944604.91,Voice Cloner,Unknown,0,0.8,0,Whistleblower,Perpetrator Identified
INC-00542,2025,Q4,Netherlands,AI Plagiarism,Medium,Media,9672,,LLM Chatbot,Corporation,1,3.7,1,Whistleblower,Unresolved
INC-00543,2024,Q1,Canada,Automated Misinformation Campaign,Medium,Legal,46298,652045.34,Code Generator,Corporation,0,7.0,0,Journalist Investigation,Resolved
INC-00544,2023,Q1,China,Non-Consensual Intimate Imagery,High,Politics,102390,1232987.05,Voice Cloner,Individual,0,1.4,0,Automated Flag,Legal Proceedings
INC-00545,2024,Q2,United Kingdom,AI Identity Theft,High,Personal,28168,2423286.76,Code Generator,Unknown,1,4.4,1,Victim Report,Perpetrator Identified
INC-00546,2025,Q3,Turkey,AI Plagiarism,Medium,Education,20677,248078.88,LLM Chatbot,Organized Group,1,7.4,1,Journalist Investigation,Perpetrator Identified
INC-00547,2023,Q2,North Korea,AI Plagiarism,High,Personal,77183,10941888.15,Image Generator,State Actor,0,9.8,1,Platform AI,Legal Proceedings
INC-00548,2025,Q2,Netherlands,AI Plagiarism,Low,Employment,4230,59938.86,Video Synthesizer,State Actor,1,0.1,1,Automated Flag,Unresolved
INC-00549,2025,Q2,Indonesia,AI Identity Theft,Medium,Employment,4837,720964.07,Image Generator,Corporation,0,0.1,1,Victim Report,Closed-No Action
INC-00550,2024,Q4,New Zealand,Synthetic Media Electoral Interference,Medium,Public Safety,24852,237075.33,Image Generator,Unknown,1,1.7,0,Forensic Analysis,Closed-No Action
INC-00551,2023,Q2,Ireland,AI Identity Theft,Medium,Employment,18510,,Video Synthesizer,Unknown,1,9.6,1,Platform AI,Unresolved
INC-00552,2024,Q2,Brazil,AI-Generated Legal Documents (Unauthorized),High,Healthcare,35174,,Voice Cloner,Organized Group,0,6.7,0,Platform AI,Under Investigation
INC-00553,2024,Q3,Poland,Medical AI Misdiagnosis,Low,Finance,13814,104180.56,Unknown,State Actor,0,1.1,0,Automated Flag,Perpetrator Identified
INC-00554,2025,Q3,Germany,Copyright Infringement via Image Gen,Medium,Education,4967,553500.59,Multiple,Corporation,0,8.6,1,Victim Report,Perpetrator Identified
INC-00555,2025,Q2,United Kingdom,Non-Consensual Intimate Imagery,Low,Politics,1021,89860.09,Multiple,Corporation,0,4.5,0,Forensic Analysis,Resolved
INC-00556,2024,Q3,Nigeria,Automated Misinformation Campaign,Medium,Personal,2293,244246.54,Video Synthesizer,State Actor,0,0.2,0,Platform AI,Legal Proceedings
INC-00557,2024,Q1,Taiwan,AI Identity Theft,High,Politics,61380,5645079.39,Video Synthesizer,Individual,0,0.8,0,Victim Report,Unresolved
INC-00558,2022,Q4,Taiwan,AI Plagiarism,Critical,Healthcare,672391,41958178.39,Unknown,Corporation,0,6.1,0,Human Review,Unresolved
INC-00559,2024,Q2,Taiwan,Copyright Infringement via Image Gen,Medium,Politics,5317,716141.32,Voice Cloner,Individual,1,4.5,0,Automated Flag,Resolved
INC-00560,2024,Q1,Singapore,AI Plagiarism,High,Finance,11894,6990661.07,Image Generator,Corporation,0,9.5,1,Forensic Analysis,Unresolved
INC-00561,2022,Q3,Mexico,Manipulated Audio Evidence,Critical,Legal,556749,23596459.93,Multiple,State Actor,0,9.8,1,Human Review,Closed-No Action
INC-00562,2023,Q4,Russia,Chatbot Harmful Advice,Medium,Media,29349,175154.14,Image Generator,Corporation,1,4.2,0,Whistleblower,Under Investigation
INC-00563,2025,Q2,Saudi Arabia,AI Bias in Credit Scoring,Critical,Personal,123141,82124129.07,LLM Chatbot,Organized Group,1,4.1,1,Forensic Analysis,Legal Proceedings
INC-00564,2022,Q1,India,Non-Consensual Intimate Imagery,Critical,Finance,1235013,65708267.61,Unknown,Corporation,1,2.0,0,Human Review,Under Investigation
INC-00565,2025,Q4,Taiwan,AI-Generated Legal Documents (Unauthorized),Medium,Employment,4948,804075.29,Image Generator,Unknown,1,2.2,1,Whistleblower,Closed-No Action
INC-00566,2022,Q1,Singapore,AI Surveillance Abuse,Critical,Media,1390672,,Unknown,Unknown,0,1.1,0,Victim Report,Perpetrator Identified
INC-00567,2024,Q2,China,AI Plagiarism,Medium,Politics,15431,52440.07,Video Synthesizer,State Actor,1,8.7,1,Automated Flag,Legal Proceedings
INC-00568,2023,Q4,North Korea,Medical AI Misdiagnosis,High,Education,40926,1012668.62,Voice Cloner,Organized Group,0,3.1,0,Human Review,Unresolved
INC-00569,2023,Q2,Poland,Synthetic Media Electoral Interference,High,Employment,68566,,Multiple,Organized Group,0,9.2,0,Automated Flag,Closed-No Action
INC-00570,2022,Q2,Russia,Automated Misinformation Campaign,Low,Personal,3842,39763.02,LLM Chatbot,Organized Group,1,6.0,0,Victim Report,Unresolved
INC-00571,2023,Q1,Indonesia,AI Plagiarism,Critical,Politics,356033,251004672.3,Image Generator,State Actor,1,9.2,0,Whistleblower,Under Investigation
INC-00572,2025,Q4,Spain,Academic Dishonesty,High,Personal,10493,1845574.29,Voice Cloner,Individual,0,9.6,1,Victim Report,Perpetrator Identified
INC-00573,2025,Q4,Turkey,Medical AI Misdiagnosis,Medium,Finance,7476,1064486.99,Unknown,Individual,1,4.4,1,Victim Report,Unresolved
INC-00574,2023,Q2,Israel,AI-Generated Fraud,Critical,Legal,69479,,LLM Chatbot,Corporation,0,9.5,0,Automated Flag,Under Investigation
INC-00575,2024,Q3,India,Manipulated Audio Evidence,Low,Media,6063,5681.4,Code Generator,Organized Group,0,3.3,1,Automated Flag,Unresolved
INC-00576,2025,Q4,Ireland,Automated Misinformation Campaign,Low,Public Safety,3206,40659.22,Image Generator,Unknown,1,3.3,0,Automated Flag,Unresolved
INC-00577,2023,Q4,Venezuela,Automated Misinformation Campaign,Low,Finance,4545,31191.97,Code Generator,State Actor,1,1.8,0,Whistleblower,Closed-No Action
INC-00578,2023,Q4,India,AI-Enabled Phishing,Critical,Public Safety,96886,146487527.47,Image Generator,State Actor,1,0.6,0,Human Review,Closed-No Action
INC-00579,2023,Q4,United States,Non-Consensual Intimate Imagery,Critical,Legal,10371,,Multiple,Unknown,0,7.5,0,Victim Report,Under Investigation
INC-00580,2025,Q1,Nigeria,AI Plagiarism,Low,Legal,1135,71849.83,Multiple,Unknown,1,0.9,0,Victim Report,Unresolved
INC-00581,2023,Q3,Venezuela,Automated Misinformation Campaign,High,Public Safety,316280,,LLM Chatbot,Unknown,0,1.3,1,Whistleblower,Legal Proceedings
INC-00582,2025,Q3,Brazil,AI-Generated Legal Documents (Unauthorized),Low,Finance,662,35641.97,Image Generator,Organized Group,0,3.4,1,Human Review,Perpetrator Identified
INC-00583,2024,Q4,South Africa,Manipulated Audio Evidence,Low,Legal,3979,44853.11,Image Generator,Unknown,0,2.4,0,Journalist Investigation,Closed-No Action
INC-00584,2025,Q1,Italy,AI Plagiarism,High,Legal,137848,,Unknown,Unknown,1,8.7,0,Human Review,Under Investigation
INC-00585,2022,Q4,Iran,Deepfake Political Disinformation,Medium,Public Safety,11147,,Voice Cloner,State Actor,0,5.6,0,Whistleblower,Resolved
INC-00586,2023,Q2,France,AI Bias in Hiring,High,Media,32783,4288529.47,Voice Cloner,Individual,0,8.2,0,Whistleblower,Closed-No Action
INC-00587,2025,Q2,Germany,Medical AI Misdiagnosis,High,Healthcare,374972,10455669.77,Video Synthesizer,Corporation,0,2.1,0,Platform AI,Resolved
INC-00588,2023,Q1,India,Automated Misinformation Campaign,Low,Media,8834,,LLM Chatbot,Individual,1,6.3,0,Victim Report,Perpetrator Identified
INC-00589,2024,Q4,United States,AI-Generated Legal Documents (Unauthorized),Low,Public Safety,2943,2658.66,Unknown,Unknown,0,5.3,0,Whistleblower,Closed-No Action
INC-00590,2024,Q3,North Korea,AI Plagiarism,High,Education,168078,,Video Synthesizer,Individual,0,1.8,0,Human Review,Resolved
INC-00591,2024,Q3,Sweden,AI Plagiarism,Medium,Healthcare,9394,141119.37,Multiple,Organized Group,1,6.9,0,Human Review,Unresolved
INC-00592,2024,Q2,Ireland,Manipulated Audio Evidence,Low,Education,4829,,Video Synthesizer,Corporation,1,3.4,1,Victim Report,Closed-No Action
INC-00593,2022,Q2,Ireland,AI Identity Theft,Low,Healthcare,6114,31372.89,Video Synthesizer,Organized Group,0,5.0,1,Automated Flag,Legal Proceedings
INC-00594,2024,Q2,Germany,Copyright Infringement via Image Gen,Medium,Personal,46010,1158678.36,LLM Chatbot,Corporation,1,6.5,0,Automated Flag,Legal Proceedings
INC-00595,2023,Q2,Venezuela,AI-Generated Fraud,High,Public Safety,109620,,Image Generator,Corporation,1,7.3,1,Whistleblower,Resolved
INC-00596,2025,Q2,Iran,AI-Enabled Phishing,Medium,Media,28400,,LLM Chatbot,Unknown,0,2.5,0,Whistleblower,Closed-No Action
INC-00597,2024,Q3,Mexico,AI Identity Theft,Medium,Finance,69924,435834.91,Unknown,State Actor,0,1.3,1,Platform AI,Under Investigation
INC-00598,2023,Q4,Taiwan,Non-Consensual Intimate Imagery,Low,Legal,2157,32991.06,Voice Cloner,Organized Group,1,4.9,1,Human Review,Under Investigation
INC-00599,2025,Q1,South Africa,Voice Cloning Scam,Medium,Legal,9945,,LLM Chatbot,Corporation,0,4.6,0,Forensic Analysis,Resolved
INC-00600,2022,Q4,Indonesia,Academic Dishonesty,Medium,Personal,1366,,LLM Chatbot,Corporation,0,4.0,1,Whistleblower,Resolved
INC-00601,2024,Q1,New Zealand,AI-Enabled Phishing,Medium,Healthcare,21770,740326.85,Multiple,Organized Group,1,6.2,0,Automated Flag,Resolved
INC-00602,2023,Q3,Saudi Arabia,AI Bias in Hiring,Medium,Politics,129417,99627.2,Code Generator,State Actor,1,8.8,0,Platform AI,Legal Proceedings
INC-00603,2025,Q4,Sweden,Manipulated Audio Evidence,Medium,Politics,28363,,Multiple,Individual,0,7.3,0,Platform AI,Closed-No Action
INC-00604,2024,Q4,Netherlands,AI-Generated Legal Documents (Unauthorized),Low,Public Safety,114,2804.87,Image Generator,State Actor,0,0.7,1,Forensic Analysis,Unresolved
INC-00605,2024,Q4,Saudi Arabia,Academic Dishonesty,Low,Personal,7150,154294.07,Unknown,State Actor,1,5.5,0,Whistleblower,Legal Proceedings
INC-00606,2025,Q4,South Korea,Academic Dishonesty,High,Finance,1025,6644227.22,Multiple,State Actor,0,4.1,1,Victim Report,Legal Proceedings
INC-00607,2022,Q4,Spain,Medical AI Misdiagnosis,Medium,Legal,4347,1139421.19,Image Generator,Corporation,0,7.0,0,Automated Flag,Resolved
INC-00608,2023,Q4,Brazil,Chatbot Harmful Advice,Low,Employment,10894,,LLM Chatbot,Organized Group,0,1.6,0,Journalist Investigation,Legal Proceedings
INC-00609,2025,Q2,Netherlands,AI Bias in Credit Scoring,High,Finance,16692,1605058.31,Voice Cloner,Corporation,0,6.1,1,Forensic Analysis,Under Investigation
INC-00610,2024,Q3,India,Medical AI Misdiagnosis,Low,Healthcare,1237,3349.38,Unknown,Corporation,0,3.7,0,Whistleblower,Under Investigation
INC-00611,2022,Q2,Spain,Manipulated Audio Evidence,Medium,Media,5977,,Voice Cloner,Unknown,0,7.6,0,Automated Flag,Closed-No Action
INC-00612,2022,Q1,Taiwan,Manipulated Audio Evidence,High,Media,7479,1153509.11,Code Generator,Individual,0,8.6,0,Human Review,Under Investigation
INC-00613,2022,Q2,Iran,Automated Misinformation Campaign,Medium,Personal,7741,225116.82,Code Generator,Corporation,1,6.4,0,Forensic Analysis,Closed-No Action
INC-00614,2022,Q2,Nigeria,Manipulated Audio Evidence,Medium,Politics,59891,126909.28,Multiple,Individual,0,4.0,1,Victim Report,Under Investigation
INC-00615,2022,Q1,Russia,Manipulated Audio Evidence,Critical,Finance,312678,48431781.8,Code Generator,Unknown,0,6.9,0,Human Review,Resolved
INC-00616,2024,Q4,France,AI Identity Theft,Medium,Employment,38225,73510.58,LLM Chatbot,Organized Group,0,0.0,0,Forensic Analysis,Unresolved
INC-00617,2025,Q1,Sweden,Automated Misinformation Campaign,Medium,Legal,16574,328832.7,Multiple,State Actor,0,2.2,1,Whistleblower,Under Investigation
INC-00618,2025,Q2,Canada,AI Surveillance Abuse,Low,Media,11642,49982.41,Video Synthesizer,Corporation,0,8.0,1,Victim Report,Under Investigation
INC-00619,2025,Q3,Poland,Automated Misinformation Campaign,Medium,Public Safety,21292,338570.02,LLM Chatbot,Organized Group,0,2.8,1,Platform AI,Legal Proceedings
INC-00620,2025,Q2,Nigeria,AI Identity Theft,High,Public Safety,57548,,Video Synthesizer,Organized Group,1,8.4,1,Automated Flag,Legal Proceedings
INC-00621,2024,Q1,South Africa,AI Identity Theft,Low,Education,6938,18531.21,Image Generator,Corporation,0,3.6,1,Human Review,Under Investigation
INC-00622,2024,Q2,Netherlands,Medical AI Misdiagnosis,High,Politics,20798,,Voice Cloner,Corporation,0,8.4,0,Victim Report,Resolved
INC-00623,2024,Q2,Mexico,AI Bias in Credit Scoring,Medium,Finance,19759,189225.55,Voice Cloner,Unknown,0,2.9,0,Journalist Investigation,Resolved
INC-00624,2024,Q4,Poland,AI Surveillance Abuse,Medium,Legal,1316,17182.95,Image Generator,Unknown,1,8.6,1,Human Review,Perpetrator Identified
INC-00625,2023,Q2,Singapore,AI Bias in Credit Scoring,Medium,Media,4673,256372.23,Unknown,Corporation,1,9.7,0,Journalist Investigation,Under Investigation
INC-00626,2024,Q1,North Korea,AI Identity Theft,High,Healthcare,161493,13468783.16,Multiple,Corporation,0,6.4,1,Whistleblower,Under Investigation
INC-00627,2023,Q4,South Africa,Non-Consensual Intimate Imagery,High,Personal,286438,3658278.14,LLM Chatbot,Unknown,1,8.2,0,Victim Report,Under Investigation
INC-00628,2023,Q4,India,Medical AI Misdiagnosis,Medium,Education,37632,459775.05,Multiple,Organized Group,0,3.7,1,Platform AI,Under Investigation
INC-00629,2022,Q2,China,Medical AI Misdiagnosis,High,Finance,63509,4653671.08,Unknown,Unknown,0,7.6,1,Victim Report,Closed-No Action
INC-00630,2024,Q1,Singapore,Copyright Infringement via Image Gen,Medium,Finance,14248,,Voice Cloner,Individual,1,7.6,1,Platform AI,Closed-No Action
INC-00631,2023,Q1,Iran,Academic Dishonesty,Medium,Healthcare,16827,,Video Synthesizer,State Actor,0,4.5,1,Victim Report,Resolved
INC-00632,2025,Q2,United States,Medical AI Misdiagnosis,Medium,Legal,4841,21369.09,Image Generator,Corporation,1,7.6,0,Human Review,Resolved
INC-00633,2022,Q3,Canada,Chatbot Harmful Advice,Low,Education,4167,38750.02,Voice Cloner,Corporation,0,0.3,1,Human Review,Closed-No Action
INC-00634,2023,Q1,Brazil,Academic Dishonesty,Low,Public Safety,1881,91934.01,Video Synthesizer,Individual,0,2.4,0,Whistleblower,Closed-No Action
INC-00635,2024,Q1,Germany,AI Identity Theft,Low,Healthcare,14772,,LLM Chatbot,Unknown,0,7.5,0,Journalist Investigation,Closed-No Action
INC-00636,2024,Q1,Canada,AI Plagiarism,High,Healthcare,125987,5999036.0,Code Generator,State Actor,1,4.4,0,Forensic Analysis,Closed-No Action
INC-00637,2024,Q1,United Kingdom,AI Identity Theft,Medium,Healthcare,9757,,Image Generator,Corporation,0,2.7,0,Victim Report,Resolved
INC-00638,2024,Q3,Ireland,AI-Enabled Phishing,Low,Media,3344,,Unknown,Corporation,1,9.9,1,Victim Report,Perpetrator Identified
INC-00639,2024,Q1,Italy,Copyright Infringement via Image Gen,Critical,Personal,859694,40382563.87,Unknown,Individual,0,7.9,0,Journalist Investigation,Resolved
INC-00640,2024,Q2,Spain,Copyright Infringement via Image Gen,Low,Media,28,11239.35,Voice Cloner,Unknown,0,9.8,1,Whistleblower,Closed-No Action
INC-00641,2024,Q3,Indonesia,Copyright Infringement via Image Gen,High,Personal,92560,225048.59,Code Generator,Corporation,0,5.4,1,Victim Report,Unresolved
INC-00642,2025,Q4,Russia,Chatbot Harmful Advice,Medium,Public Safety,26454,,Image Generator,Unknown,1,5.6,0,Victim Report,Under Investigation
INC-00643,2025,Q4,Kenya,Non-Consensual Intimate Imagery,Critical,Employment,182826,44626039.14,Voice Cloner,State Actor,0,0.6,0,Journalist Investigation,Under Investigation
INC-00644,2022,Q3,Brazil,Synthetic Media Electoral Interference,High,Legal,134420,,Video Synthesizer,State Actor,0,0.3,0,Whistleblower,Unresolved
INC-00645,2023,Q2,Italy,Chatbot Harmful Advice,High,Legal,16395,654572.34,Multiple,Unknown,1,8.7,0,Whistleblower,Under Investigation
